Label:,V_Address:,V_DrawFunction:,Angles:,Frames:,Framerate:,Sprites[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balloon,12,0,11,1,1000,BALLOON_CLEAR,BALLOON_WHITE,BALLOON_BLACK,BALLOON_RED,BALLOON_ORANGE,BALLOON_YELLOW,BALLOON_GREEN,BALLOON_CYAN,BALLOON_COBALT,BALLOON_PURPLE,BALLOON_MAGENTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalloonShadow,13,5,1,1,1,SHADOW_BALLOON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jellyfish,14,0,1,1,1000,JELLYFISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeti,15,0,1,1,1,YETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel,16,0,1,1,1,BARREL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snail,17,0,8,1,1,SNAIL_E,SNAIL_NE,SNAIL_N,SNAIL_NW,SNAIL_W,SNAIL_SW,SNAL_S,SNAIL_SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortoise,19,0,32,1,1,TORTOISE_0,TORTOISE_1,TORTOISE_2,TORTOISE_3,TORTOISE_4,TORTOISE_5,TORTOISE_6,TORTOISE_7,TORTOISE_8,TORTOISE_9,TORTOISE_10,TORTOISE_11,TORTOISE_12,TORTOISE_13,TORTOISE_14,TORTOISE_15,TORTOISE_16,TORTOISE_17,TORTOISE_18,TORTOISE_19,TORTOISE_20,TORTOISE_21,TORTOISE_22,TORTOISE_23,TORTOISE_24,TORTOISE_25,TORTOISE_26,TORTOISE_27,TORTOISE_28,TORTOISE_29,TORTOISE_30,TORTOISE_31,,,,,,,,,,,,,,,,,,,,
Tree,20,0,52,1,1,TREE_1,TREE_2,TREE_3,TREE_4,TREE_5,TREE_6,TREE_7,TREE_8,TREE_9,TREE_10,TREE_11,TREE_12,TREE_13,TREE_14,TREE_15,TREE_16,TREE_17,TREE_18,TREE_19,TREE_20,TREE_21,TREE_22,TREE_23,TREE_24,TREE_25,TREE_26,TREE_27,TREE_28,TREE_29,TREE_30,TREE_31,TREE_32,TREE_33,TREE_34,TREE_35,TREE_36,TREE_37,TREE_38,TREE_39,TREE_40,TREE_41,TREE_42,TREE_43,TREE_44,TREE_45,TREE_46,TREE_47,TREE_48,TREE_49,TREE_50,TREE_51,TREE_52
Arrow,21,0,1,1,1,ARROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow8,22,0,8,1,1,COW_R,COW_R,COW_R,COW_L,COW_L,COW_L,COW_L,COW_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z_RUN,23,0,8,8,1,Z_RUN_0_0,Z_RUN_1_0,Z_RUN_2_0,Z_RUN_3_0,Z_RUN_4_0,Z_RUN_5_0,Z_RUN_6_0,Z_RUN_7_0,Z_RUN_0_1,Z_RUN_1_1,Z_RUN_2_1,Z_RUN_3_1,Z_RUN_4_1,Z_RUN_5_1,Z_RUN_6_1,Z_RUN_7_1,Z_RUN_0_2,Z_RUN_1_2,Z_RUN_2_2,Z_RUN_3_2,Z_RUN_4_2,Z_RUN_5_2,Z_RUN_6_2,Z_RUN_7_2,Z_RUN_0_3,Z_RUN_1_3,Z_RUN_2_3,Z_RUN_3_3,Z_RUN_4_3,Z_RUN_5_3,Z_RUN_6_3,Z_RUN_7_3,Z_RUN_0_4,Z_RUN_1_4,Z_RUN_2_4,Z_RUN_3_4,Z_RUN_4_4,Z_RUN_5_4,Z_RUN_6_4,Z_RUN_7_4,Z_RUN_0_5,Z_RUN_1_5,Z_RUN_2_5,Z_RUN_3_5,Z_RUN_4_5,Z_RUN_5_5,Z_RUN_6_5,Z_RUN_7_5,Z_RUN_0_6,Z_RUN_1_6,Z_RUN_2_6,Z_RUN_3_6,Z_RUN_4_6,Z_RUN_5_6,Z_RUN_6_6,Z_RUN_7_6,Z_RUN_0_7,Z_RUN_1_7,Z_RUN_2_7,Z_RUN_3_7,Z_RUN_4_7,Z_RUN_5_7,Z_RUN_6_7,Z_RUN_7_7,,,,
